Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
28,Goiana (Itapirema - IPA),jun./2024,0,"0,2","7,8","31,6","6,4",13,"16,4",0,36,"3,6","0,6","1,2","0,6","13,4","54,8","35,2","0,6","17,4","17,4","15,6","8,4","1,2","23,8",6,"0,2",0,0,"0,2",0,0,-,"1275,3"
487,Goiana - PCD,jun./2024,"0,4","4,8","4,8","31,4","7,6","2,8",1,"1,2","1,2","1,6",0,-,-,-,-,-,-,-,-,"12,4","7,6","1,2","21,6","1,8","0,8","1,4","0,4",0,0,0,-,"221,4"
100,Igarassu,jun./2024,0,"10,7","4,3","64,6","0,5","0,7","14,1",38,46,"4,1","0,2","7,3","1,8","3,3",87,31,"0,2","0,3",4,"23,5",8,"9,8","10,9","3,2","3,8",3,"0,1",0,0,0,-,1579
269,Igarassu (Bar.Catucá),jun./2024,0,"1,8","2,5","30,3",9,"10,2",0,"2,3",16,6,"2,5","0,6",0,"4,5",65,58,3,-,"5,8",21,14,"5,1","8,1","18,2","0,8",7,0,0,0,0,-,"1254,1"
294,Igarassu (Usina São José),jun./2024,0,"2,8",32,0,7,"3,7",9,"17,1",3,1,0,0,"5,4",73,35,"1,3","1,4","5,3",22,"9,3","3,1","23,5",9,"1,7","4,3",0,0,0,0,0,-,"1389,1"
387,Ipojuca,jun./2024,"2,7","2,1","16,3",40,"24,2","19,2","36,2","23,7","14,5","0,5","3,9","1,7","5,4","6,1","99,3","53,9",1,"1,2","22,7","18,9","5,1",10,"34,4","5,3",26,"2,9","0,4",0,0,0,-,"1859,6"
602,Ipojuca (Suape) - PCD,jun./2024,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"467,8"
524,Itamaracá,jun./2024,0,"5,4","6,5","38,2","6,8",10,"12,3","7,5",18,"6,5","2,4",0,"1,2","6,5",90,55,20,0,"7,8","14,5",20,"16,3",2,4,"4,5","15,4",0,0,0,0,-,"1558,8"
520,Itapissuma,jun./2024,"0,3","5,2","6,4","36,9","6,5","9,5","9,2",7,"19,2","5,5","2,5",0,"1,1","5,3",89,58,30,0,"8,6",12,22,18,"3,2","4,1","3,8",16,0,0,0,0,-,"1723,9"
604,Jaboatão (Cidade da Copa) - PCD,jun./2024,"0,4","40,4","20,6",92,"5,8",30,"17,2","30,8","18,4","4,8","1,8","1,8","3,6","43,2","115,6","27,8","3,6","5,2",27,"12,4","27,8",11,"24,8",5,"28,6","3,4","0,8",0,0,0,-,"2019,2"
