timestamp,action,bairro,note
2025-11-04T19:33:41.375005,add_bairro,BOA VIAGEM,added from geojson
2025-11-04T19:33:41.375005,add_bairro,ALTO SANTA TEREZINHA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,MACAXEIRA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,BREJO DE BEBERIBE,added from geojson
2025-11-04T19:33:41.375005,add_bairro,NOVA DESCOBERTA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,MONTEIRO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,CAMPO GRANDE,added from geojson
2025-11-04T19:33:41.375005,add_bairro,AGUA FRIA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,IMBIRIBEIRA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,JIQUIA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,AFOGADOS,added from geojson
2025-11-04T19:33:41.375005,add_bairro,APIPUCOS,added from geojson
2025-11-04T19:33:41.375005,add_bairro,CORREGO DO JENIPAPO,added from geojson
2025-11-04T19:33:41.375005,add_bairro,PONTO DE PARADA,added from geojson
2025-11-04T19:33:41.375005,add_bairro,COHAB,added from geojson
2025-11-04T19:50:52.499721,prediction,TORRE,"{""timestamp"": ""2025-11-04T19:50:52.499721"", ""bairro"": ""TORRE"", ""chuva_mm_used"": 200.0, ""chuva_mm_manual"": true, ""vulnerabilidade_used"": 0.5, ""vulnerabilidade_db_value"": 0.5, ""vulnerabilidade_estimated"": false, ""vulnerabilidade_modified"": false, ""mare_m_used"": 0.9000000000000001, ""predicted_occurrences"": 1.4019296595662953, ""predicted_risk_probability"": 0.017278684618673434}"
2025-11-04T19:50:57.444179,prediction,TORRE,"{""timestamp"": ""2025-11-04T19:50:57.444179"", ""bairro"": ""TORRE"", ""chuva_mm_used"": 200.0, ""chuva_mm_manual"": true, ""vulnerabilidade_used"": 0.5, ""vulnerabilidade_db_value"": 0.5, ""vulnerabilidade_estimated"": false, ""vulnerabilidade_modified"": false, ""mare_m_used"": 1.0500000000000003, ""predicted_occurrences"": 1.3856229046913449, ""predicted_risk_probability"": 0.09073271837806177}"
2025-11-04T19:51:03.464901,prediction,TORRE,"{""timestamp"": ""2025-11-04T19:51:03.464901"", ""bairro"": ""TORRE"", ""chuva_mm_used"": 200.0, ""chuva_mm_manual"": true, ""vulnerabilidade_used"": 0.5, ""vulnerabilidade_db_value"": 0.5, ""vulnerabilidade_estimated"": false, ""vulnerabilidade_modified"": false, ""mare_m_used"": 1.2500000000000004, ""predicted_occurrences"": 1.3978956543138887, ""predicted_risk_probability"": 0.5025300020694645}"
